time,strategy_nav_eqw,benchmark_nav_eqw
2023-09-07,1.1332303272747986,1.201264738763195
2023-09-08,1.1318470430361072,1.2003605722420727
2023-09-11,1.146237193343845,1.216497055927682
2023-09-12,1.1302173296409908,1.197100675861123
2023-09-13,1.1392720888731085,1.2098177162264825
2023-09-14,1.152368203297792,1.226283528306335
2023-09-15,1.1279256060027976,1.1943029049934122
2023-09-18,1.127010846152333,1.1932466012992617
2023-09-19,1.1268050795232862,1.1926474531529887
2023-09-20,1.1048101993106472,1.1657760239880965
2023-09-21,1.0867734427112197,1.143811106820831
2023-09-22,1.0925827768358576,1.1524325046039912
2023-09-25,1.0995649486239454,1.1604575140468054
2023-09-26,1.084998852618817,1.1433726320129398
2023-09-27,1.0872098397413494,1.1446836730957093
2023-09-28,1.1018469977873466,1.160674038468401
2023-09-29,1.1029922173433793,1.1626288714227817
2023-10-02,1.122292605226042,1.1821212809081036
2023-10-03,1.0985475940108032,1.1546837687307467
2023-10-04,1.1177248044887613,1.1735642227645402
2023-10-05,1.1208342847752328,1.1768430022633263
2023-10-06,1.1459106704896918,1.2056867168569834
2023-10-09,1.1512209739964259,1.2117102355538671
2023-10-10,1.1556897184305845,1.217623168585072
2023-10-11,1.1736051736187094,1.2371217109616948
2023-10-12,1.180106786198479,1.2454844690779059
2023-10-13,1.1574859738779164,1.216616785280011
2023-10-16,1.1735991325159156,1.2367479327465989
2023-10-17,1.1589748859909048,1.2195513479198052
2023-10-18,1.1458126598007607,1.2007398269458895
2023-10-19,1.137363617045064,1.184199398749212
2023-10-20,1.1204441175089181,1.1646867572734274
2023-10-23,1.1337228973142577,1.1822447400093115
2023-10-24,1.1464796850996053,1.194919160928077
2023-10-25,1.1051716576261437,1.168100703632356
2023-10-26,1.0775613160550568,1.1300069832413742
2023-10-27,1.0872315441753662,1.1441311955023836
2023-10-30,1.0937172672839788,1.1570711884959037
2023-10-31,1.0927687678566576,1.1560119953453267
2023-11-01,1.114772026067821,1.1851362122933644
2023-11-02,1.1340313800229218,1.2048904454516862
2023-11-03,1.147553119442617,1.2233537956317133
2023-11-06,1.153670036423112,1.2312947963768748
2023-11-07,1.1647363448924855,1.2462944655290331
2023-11-08,1.1727055803211526,1.2578733104129323
2023-11-09,1.1681718708298199,1.2545316446998713
2023-11-10,1.1962243253764564,1.2956373631788076
2023-11-13,1.197729481111776,1.2928313412405315
2023-11-14,1.2205474488810424,1.3213826147921046
2023-11-15,1.21947065383886,1.3171494352152335
2023-11-16,1.2167952484252154,1.318359157609105
2023-11-17,1.2218857756376256,1.3203235674658709
2023-11-20,1.2349925409784068,1.3435981221025404
2023-11-21,1.2295330292737214,1.3313259635303145
2023-11-22,1.220339279925541,1.3267164161752025
2023-11-24,1.2171674910431785,1.3215810615107182
2023-11-27,1.2094860828081506,1.3115763325833376
2023-11-28,1.2126501635397204,1.317342989480223
2023-11-29,1.209369124262365,1.307829022608457
2023-11-30,1.1964162243563905,1.2902742558005647
2023-12-01,1.196634710357896,1.2870711340271113
2023-12-04,1.1870103328818766,1.268675972726302
2023-12-05,1.1896290201065038,1.2742905737589778
2023-12-06,1.1805071548163026,1.2610977073538203
2023-12-07,1.2028337585413271,1.2844425795169185
2023-12-08,1.216088003078593,1.3052731953248742
2023-12-11,1.2340239787265104,1.3237720108450413
2023-12-12,1.2554433166740422,1.3541748242587157
2023-12-13,1.262807889609904,1.365625375023562
2023-12-14,1.2683000428273072,1.3691973946117795
2023-12-15,1.2784383486674282,1.3866652931424106
2023-12-18,1.2932493859737202,1.4070765394617593
2023-12-19,1.291421099186928,1.4080987652910675
2023-12-20,1.2754694512411904,1.382447639220143
2023-12-21,1.2866176196036982,1.4015031442753845
2023-12-22,1.284002711521706,1.3979956393711412
2023-12-26,1.2896268670634017,1.4061735800375876
2023-12-27,1.2898788587835985,1.4075888752942802
2023-12-28,1.2894561939094533,1.4057217322189295
2023-12-29,1.2857040096713797,1.3990162248633644
2024-01-02,1.266984061757804,1.3676021132223164
2024-01-03,1.2544187784234988,1.3491408208250282
2024-01-04,1.253106763535276,1.3457827892131118
2024-01-05,1.2598261022965829,1.354299173389383
2024-01-08,1.2877359142227347,1.393837509180375
2024-01-09,1.2932181115964392,1.4000141852436354
2024-01-10,1.3046227096806744,1.4202824764311317
2024-01-11,1.3117782090952552,1.4290468435365586
2024-01-12,1.312113456077847,1.4354441891252865
2024-01-16,1.3176870619798777,1.4428359370535215
2024-01-17,1.310659672688884,1.434889211309216
2024-01-18,1.3332587654791495,1.466390564702721
2024-01-19,1.3694657432317263,1.5153060404284595
2024-01-22,1.3723190291615772,1.5168580346784795
2024-01-23,1.3775783234499097,1.5252483932572478
2024-01-24,1.3939308580446155,1.5498210367673317
2024-01-25,1.3777162397225837,1.5382660426970383
2024-01-26,1.3670918037481283,1.5249644931927913
2024-01-29,1.3834165210991576,1.5488197555197085
2024-01-30,1.3793283647788248,1.543492050342965
2024-01-31,1.3565299282062584,1.5067169769214575
2024-02-01,1.3737209528409977,1.5321135309867504
2024-02-02,1.429475459911373,1.6183916523325754
2024-02-05,1.4408416682671463,1.6260649532346316
2024-02-06,1.430537080778867,1.6108569095227443
2024-02-07,1.4570333440086205,1.6517254679239888
2024-02-08,1.4605209872023275,1.6566370957101033
2024-02-09,1.4757533371349183,1.6786858263017115
2024-02-12,1.4675833895996966,1.6659939853214525
2024-02-13,1.4559456797696142,1.6447363379168305
2024-02-14,1.4744300950252212,1.670693803065217
2024-02-15,1.47935762406775,1.6732731885777006
2024-02-16,1.4673357003044871,1.6552068187057019
2024-02-20,1.443370897924459,1.6271267486215342
2024-02-21,1.4339427878279085,1.6149972107765993
2024-02-22,1.5179020355821342,1.7245052341940257
2024-02-23,1.5120469589223748,1.7178702116687212
2024-02-26,1.5184443542603623,1.7215075594581974
2024-02-27,1.5176316503843634,1.718778201822412
2024-02-28,1.5069453885302329,1.7087720188610762
2024-02-29,1.5213300899118598,1.729473578782029
2024-03-01,1.5685545740483642,1.7936936080952415
2024-03-04,1.5672837601205312,1.8003992483047946
2024-03-05,1.542068381055521,1.7617999452349022
2024-03-06,1.5553124636720155,1.7806257529418354
2024-03-07,1.6016145196006262,1.8408870848360421
2024-03-08,1.5471102300174024,1.769235148019062
2024-03-11,1.52960731666415,1.7390643112397721
2024-03-12,1.5654818753728144,1.790356186874431
2024-03-13,1.5453146420531771,1.7658281696636884
2024-03-14,1.533449836461341,1.756727336008179
2024-03-15,1.5196654602738535,1.733380091148085
2024-03-18,1.5412304439111368,1.7507551419260707
2024-03-19,1.5457706763353145,1.7589431033608611
2024-03-20,1.5692671482838287,1.7906680849315837
2024-03-21,1.590264062497296,1.8248994285672948
2024-03-22,1.6054302245421535,1.842774108666084
2024-03-25,1.6050486064889964,1.8366428871814773
2024-03-26,1.586273060832481,1.8113014053656307
2024-03-27,1.5744648598464779,1.7950075288823744
2024-03-28,1.5702488662372505,1.7900786851568702
2024-04-01,1.5789683564081067,1.8063525216041674
2024-04-02,1.5694447896796988,1.7957066493832616
2024-04-03,1.579941765705827,1.8092307191874
2024-04-04,1.5549147672627095,1.7762970051426952
2024-04-05,1.5760166945476115,1.8118837559542817
2024-04-08,1.5702826910877872,1.8019135549948955
2024-04-09,1.5630987670694456,1.7934122042279401
2024-04-10,1.5650357016067489,1.7949938253174882
2024-04-11,1.6068439300596173,1.8471756137792794
2024-04-12,1.5788615088189024,1.8065387867264613
2024-04-15,1.546985770066906,1.7630415321390653
2024-04-16,1.5544914251424369,1.7752348775128004
2024-04-17,1.5211637443682364,1.7325986614102968
2024-04-18,1.5173057540051125,1.723949110755898
2024-04-19,1.4482323889046498,1.6385126879237577
2024-04-22,1.4687100254853862,1.6646066165310265
2024-04-23,1.5005525798673447,1.7057755501888938
2024-04-24,1.4990157369495234,1.6996568265147665
2024-04-25,1.5002106479447415,1.6886489768273405
2024-04-26,1.5413262760363962,1.7425048058647423
2024-04-29,1.547526730293526,1.7388806426211114
2024-04-30,1.5205219921200537,1.7000835899314901
2024-05-01,1.4941297057136096,1.6697834813621972
2024-05-02,1.5106337897758828,1.6887192415020944
2024-05-03,1.5515924365425289,1.7381878304377696
2024-05-06,1.5855849867706184,1.7833919960678446
2024-05-07,1.5754185198514212,1.7693670125803131
2024-05-08,1.583837353569113,1.7801767915340623
2024-05-09,1.572506046570913,1.7672788514902735
2024-05-10,1.5871176392775186,1.7842018992724844
2024-05-13,1.586783832130001,1.7847076757122193
2024-05-14,1.6067892478751873,1.8132645318375404
2024-05-15,1.6456231169288253,1.8637929477327535
2024-05-16,1.6325538139864146,1.846082039679854
2024-05-17,1.6180768704658939,1.8292693989016815
2024-05-20,1.635100294396751,1.8501909269959937
2024-05-21,1.6332910474156543,1.8516067802212592
2024-05-22,1.6313067622933253,1.8473037115426332
2024-05-23,1.6693665200406813,1.885799458384311
2024-05-24,1.6927818290747125,1.9192624282238007
2024-05-28,1.7288691129962526,1.9605539124398668
2024-05-29,1.7236235808357794,1.9521592695361232
2024-05-30,1.686048631805837,1.903712212954992
2024-05-31,1.6715766064489752,1.885666617776466
2024-06-03,1.6980620441405843,1.9174478102298278
2024-06-04,1.7082397145345087,1.9298523886607297
2024-06-05,1.771701920295985,2.0124583878589384
2024-06-06,1.7613898801918317,2.0005171330333034
